Name,Symbol,Current Price (USD),Market Capitalization,24-hour Trading Volume,"Price Change (24h, %)"
Bitcoin,btc,97979.0,1941622399071,47451337991,4.28302
Ethereum,eth,3474.39,418898054385,23560145632,2.43195
Tether,usdt,0.998715,139186034980,49481854578,0.01773
XRP,xrp,2.28,130402454747,4606875840,2.23479
BNB,bnb,706.14,103110644665,1028183501,3.54446
Solana,sol,195.95,93945682384,4387937260,2.31098
Dogecoin,doge,0.331014,48760883475,3452115652,3.60141
USDC,usdc,0.9996,43211060309,4265381099,-0.01116
Lido Staked Ether,steth,3471.24,33681464205,120865249,2.45509
Cardano,ada,0.913057,32755958445,993587494,1.9418
TRON,trx,0.255964,22066925274,971532298,1.73433
Avalanche,avax,40.65,16659601503,516620874,3.86465
Chainlink,link,24.62,15557800530,1700590903,3.09958
Toncoin,ton,5.95,15191351216,262310957,5.63589
Wrapped stETH,wsteth,4143.91,14547000707,95021052,2.6774
Shiba Inu,shib,2.297e-05,13537503665,733034235,3.20887
Sui,sui,4.49,13152625531,1490798844,-0.26416
Wrapped Bitcoin,wbtc,97671.0,12974305576,515383347,4.1479
Hedera,hbar,0.312401,11959862022,1556520911,0.74554
Stellar,xlm,0.384398,11645494573,541937613,3.4116
Polkadot,dot,7.43,11320351168,433094787,2.50519
WETH,weth,3476.22,9902027413,720165906,2.43188
Hyperliquid,hype,28.28,9433137780,355432596,1.16851
Bitcoin Cash,bch,464.57,9205147679,255012183,0.54716
LEO Token,leo,9.54,8816182674,761750,1.24828
Uniswap,uni,13.9,8343485867,582274599,0.29739
Litecoin,ltc,108.73,8200226465,635308393,1.92514
Bitget Token,bgb,5.65,7906179103,494254784,14.02897
Pepe,pepe,1.865e-05,7861894191,2402354002,2.25371
Wrapped eETH,weeth,3678.34,6748147032,10968906,2.66093
NEAR Protocol,near,5.49,6688714455,421244311,1.05635
Ethena USDe,usde,0.998708,5911112028,58080230,0.00029
Aave,aave,373.37,5607501125,927269959,-0.6827
Internet Computer,icp,11.28,5400021243,239712664,5.15312
USDS,usds,0.999446,5393988137,11012371,-0.09142
Aptos,apt,9.59,5346232140,395609827,2.38352
POL (ex-MATIC),pol,0.515564,4334160758,168482684,2.67469
Cronos,cro,0.158384,4300236360,40534212,-1.5436
VeChain,vet,0.052242,4236802679,127188799,6.39596
Mantle,mnt,1.25,4223435048,164600956,5.09168
Ethereum Classic,etc,27.53,4135135219,219694048,1.56714
Render,render,7.56,3916155973,158011396,-1.50315
Bittensor,tao,514.45,3803981852,149907601,5.05862
WhiteBIT Coin,wbt,24.86,3584814789,34819014,2.04571
Monero,xmr,193.5,3571532655,73851448,3.96161
MANTRA,om,3.76,3571121211,45060994,0.17349
Artificial Superintelligence Alliance,fet,1.36,3541444809,339323956,1.2724
Dai,dai,0.999287,3407270435,131363328,-0.03716
Arbitrum,arb,0.800306,3374906954,426990509,0.23723
Filecoin,fil,5.34,3281911175,382755111,3.32521
